epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.517,1.45891,1.83767,1.3353,0.58974,0.54229,0.52542,0.26223,1.54848,2.6711,1.43869,0.000651852,0.000651852,0.000651852
2,884.532,1.54311,1.55662,1.38076,0.33341,0.39303,0.27552,0.11455,1.8963,4.47449,1.72036,0.00129241,0.00129241,0.00129241
3,1235.2,1.57954,1.60555,1.39885,0.03181,0.1194,0.01528,0.00538,2.55905,18.0813,2.88622,0.00190657,0.00190657,0.00190657
4,1583.58,1.60786,1.53342,1.4104,0.1043,0.39303,0.07676,0.03594,1.8217,4.18494,1.56419,0.0018812,0.0018812,0.0018812
5,1938.52,1.54906,1.5019,1.39492,0.35888,0.35821,0.30523,0.1599,1.79907,2.62848,1.61285,0.0018416,0.0018416,0.0018416
6,2235.01,1.52209,1.43182,1.36417,0.49313,0.35821,0.35896,0.17129,1.92449,2.20667,1.63118,0.001802,0.001802,0.001802
7,2507.13,1.50863,1.42438,1.35793,0.50941,0.54229,0.49221,0.23694,1.77048,1.85567,1.51746,0.0017624,0.0017624,0.0017624
